iter	Passed	Remaining
153	3019	16584
154	3031	16527
155	3040	16448
156	3062	16443
157	3071	16369
158	3081	16300
159	3099	16271
160	3124	16282
161	3152	16307
162	3179	16328
163	3192	16273
164	3216	16277
165	3228	16222
166	3251	16218
167	3268	16187
168	3290	16181
169	3314	16181
170	3321	16101
171	3335	16058
172	3350	16018
173	3362	15962
174	3373	15902
175	3394	15892
176	3418	15893
177	3443	15900
178	3467	15905
179	3495	15923
180	3520	15928
181	3548	15948
182	3576	15967
183	3603	15980
184	3629	15990
185	3647	15964
186	3662	15922
187	3671	15857
188	3686	15817
189	3693	15748
190	3717	15744
191	3741	15743
192	3766	15748
193	3779	15703
194	3796	15671
195	3822	15679
196	3849	15690
197	3865	15655
198	3892	15669
199	3916	15665
200	3942	15670
201	3957	15634
202	3983	15638
203	3996	15593
204	4018	15583
205	4041	15577
206	4064	15570
207	4073	15510
208	4083	15454
209	4096	15409
210	4116	15394
211	4141	15393
212	4156	15359
213	4168	15312
214	4181	15266
215	4196	15230
216	4215	15210
217	4243	15222
218	4265	15211
219	4292	15218
220	4319	15224
221	4332	15182
222	4340	15123
223	4350	15072
224	4371	15057
225	4382	15007
226	4404	14996
227	4420	14967
228	4442	14958
229	4452	14905
230	4467	14873
231	4490	14865
232	4518	14875
233	4547	14885
234	4571	14881
235	4589	14856
236	4602	14817
237	4631	14829
238	4643	14786
239	4659	14756
240	4680	14742
241	4692	14698
242	4702	14648
243	4727	14646
244	4737	14599
245	4759	14587
246	4766	14531
247	4783	14503
248	4810	14509
249	4820	14461
250	4834	14425
251	4860	14428
252	4881	14411
253	4912	14427
254	4919	14373
255	4945	14373
256	4961	14342
257	4970	14296
258	4992	14282
259	5009	14258
260	5026	14232
261	5044	14208
262	5066	14198
263	5094	14203
264	5120	14203
265	5149	14209
266	5170	14194
267	5196	14193
268	5208	14154
269	5238	14162
270	5263	14159
271	5290	14159
272	5307	14135
273	5330	14123
274	5347	14099
275	5357	14053
276	5378	14037
277	5394	14010
278	5410	13982
279	5427	13956
280	5455	13960
281	5467	13921
282	5481	13888
283	5508	13886
284	5527	13867
285	5536	13821
286	5560	13814
287	5575	13783
288	5593	13760
289	5611	13738
290	5633	13725
291	5648	13694
292	5667	13674
293	5692	13669
294	5706	13638
295	5718	13601
296	5732	13568
297	5742	13526
298	5767	13522
299	5792	13515
300	5817	13510
301	5837	13490
302	5849	13455
303	5873	13447
304	5881	13401
305	5904	13390
306	5929	13384
307	5955	13379
308	5967	13344
309	5976	13302
310	5999	13291
311	6025	13287
312	6045	13269
313	6064	13248
314	6086	13235
315	6099	13202
316	6121	13189
317	6133	13153
318	6142	13113
319	6164	13098
320	6187	13088
321	6210	13077
322	6236	13072
323	6259	13059
324	6282	13047
325	6304	13035
326	6318	13003
327	6331	12971
328	6346	12943
329	6365	12922
330	6375	12886
331	6383	12844
332	6404	12827
333	6431	12825
334	6458	12820
335	6472	12790
336	6485	12759
337	6512	12755
338	6539	12750
339	6566	12746
340	6594	12744
341	6623	12742
342	6650	12737
343	6673	12726
344	6698	12716
345	6721	12705
346	6746	12695
347	6771	12687
348	6796	12678
349	6811	12649
350	6838	12643
351	6850	12610
352	6869	12590
353	6892	12578
354	6906	12549
355	6921	12520
356	6944	12508
357	6969	12498
358	6994	12488
359	7019	12478
360	7042	12466
361	7054	12433
362	7076	12418
363	7090	12389
364	7112	12373
365	7136	12362
366	7161	12352
367	7184	12339
368	7209	12328
369	7233	12316
370	7254	12299
371	7278	12286
372	7298	12268
373	7318	12250
374	7343	12238
375	7356	12208
376	7368	12176
377	7378	12142
378	7403	12130
379	7427	12118
380	7450	12104
381	7459	12068
382	7480	12051
383	7505	12039
384	7527	12024
385	7551	12011
386	7566	11985
387	7576	11949
388	7599	11937
389	7623	11923
390	7645	11908
391	7667	11893
392	7690	11878
393	7713	11864
394	7736	11849
395	7762	11840
396	7776	11811
397	7796	11792
398	7819	11778
399	7833	11750
400	7853	11731
401	7865	11699
402	7887	11683
403	7909	11668
404	7933	11655
405	7960	11647
406	7984	11633
407	8006	11617
408	8020	11588
409	8040	11570
410	8067	11561
411	8091	11547
412	8113	11531
413	8139	11521
414	8163	11508
415	8187	11494
416	8210	11479
417	8233	11463
418	8257	11449
419	8281	11435
420	8303	11420
421	8330	11409
422	8352	11393
423	8375	11378
424	8398	11363
425	8422	11348
426	8445	11333
427	8468	11318
428	8492	11303
429	8518	11292
430	8545	11281
431	8563	11259
432	8585	11242
433	8610	11228
434	8633	11214
435	8657	11199
436	8679	11182
437	8706	11171
438	8731	11157
439	8755	11142
440	8778	11127
441	8800	11110
442	8824	11095
443	8847	11079
444	8870	11063
445	8898	11053
446	8922	11037
447	8944	11021
448	8967	11005
449	8991	10989
450	9014	10972
451	9036	10955
452	9060	10940
453	9086	10928
454	9110	10912
455	9133	10896
456	9157	10880
457	9180	10863
458	9203	10847
459	9226	10831
460	9250	10815
461	9276	10802
462	9301	10787
463	9323	10770
464	9345	10752
465	9368	10735
466	9391	10719
467	9414	10702
468	9437	10684
469	9463	10671
470	9488	10656
471	9509	10638
472	9532	10621
473	9555	10603
474	9577	10586
475	9599	10568
476	9629	10557
477	9656	10545
478	9684	10533
479	9709	10518
480	9736	10505
481	9763	10493
482	9788	10477
483	9811	10460
484	9839	10448
485	9863	10431
486	9885	10413
487	9907	10394
488	9930	10376
489	9954	10360
490	9978	10343
491	10000	10325
492	10023	10308
493	10050	10294
494	10072	10276
495	10095	10258
496	10117	10239
497	10140	10221
498	10161	10202
499	10185	10185
500	10208	10168
501	10235	10153
502	10256	10134
503	10279	10116
504	10302	10098
505	10326	10081
506	10349	10063
507	10371	10044
508	10394	10026
509	10422	10013
510	10445	9995
511	10468	9977
512	10492	9960
513	10515	9942
514	10538	9924
515	10563	9908
516	10587	9890
517	10613	9875
518	10635	9856
519	10656	9837
520	10679	9818
521	10702	9800
522	10725	9781
523	10747	9763
524	10771	9745
525	10797	9730
526	10821	9712
527	10845	9694
528	10868	9676
529	10890	9657
530	10913	9639
531	10937	9621
532	10959	9602
533	10985	9586
534	11007	9567
535	11030	9548
536	11053	9530
537	11077	9512
538	11100	9494
539	11123	9475
540	11146	9457
541	11175	9443
542	11202	9428
543	11230	9413
544	11255	9396
545	11278	9377
546	11300	9358
547	11322	9339
548	11348	9323
549	11372	9304
550	11395	9286
551	11419	9267
552	11444	9250
553	11469	9233
554	11494	9215
555	11517	9197
556	11545	9182
557	11569	9164
558	11592	9145
559	11614	9125
560	11636	9106
561	11660	9087
562	11683	9068
563	11706	9049
564	11736	9035
565	11762	9019
566	11786	9000
567	11809	8981
568	11832	8962
569	11855	8943
570	11877	8923
571	11900	8904
572	11928	8888
573	11960	8876
574	11986	8859
575	12009	8840
576	12033	8821
577	12055	8801
578	12078	8782
579	12100	8762
580	12127	8746
581	12153	8728
582	12176	8709
583	12201	8691
584	12225	8672
585	12249	8653
586	12272	8634
587	12294	8614
588	12321	8597
589	12345	8578
590	12368	8559
591	12390	8539
592	12413	8519
593	12437	8500
594	12461	8482
595	12486	8463
596	12512	8446
597	12535	8426
598	12559	8408
599	12582	8388
600	12605	8368
601	12627	8348
602	12650	8328
603	12673	8309
604	12699	8291
605	12723	8272
606	12746	8252
607	12768	8232
608	12792	8213
609	12815	8193
610	12839	8174
611	12862	8154
612	12889	8137
613	12911	8117
614	12934	8097
615	12959	8078
616	12982	8058
617	13005	8039
618	13030	8020
619	13055	8001
620	13084	7985
621	13113	7969
622	13138	7950
623	13163	7931
624	13186	7911
625	13210	7892
626	13238	7875
627	13264	7857
628	13288	7837
629	13312	7818
630	13336	7798
631	13361	7779
632	13386	7761
633	13409	7741
634	13438	7724
635	13462	7705
636	13486	7685
637	13511	7666
638	13535	7646
639	13559	7627
640	13584	7608
641	13610	7589
642	13637	7571
643	13662	7552
644	13688	7533
645	13712	7514
646	13738	7495
647	13763	7476
648	13789	7457
649	13815	7438
650	13843	7421
651	13866	7401
652	13891	7382
653	13916	7362
654	13940	7342
655	13964	7322
656	13988	7303
657	14015	7284
658	14038	7264
659	14061	7243
660	14086	7224
661	14111	7204
662	14135	7184
663	14158	7164
664	14182	7144
665	14207	7124
666	14230	7104
667	14258	7086
668	14289	7070
669	14317	7052
670	14342	7032
671	14366	7012
672	14392	6993
673	14416	6972
674	14440	6952
675	14464	6932
676	14489	6912
677	14513	6892
678	14535	6871
679	14557	6850
680	14584	6831
681	14608	6811
682	14631	6790
683	14653	6769
684	14676	6748
685	14697	6727
686	14721	6707
687	14745	6686
688	14772	6667
689	14795	6647
690	14817	6626
691	14840	6605
692	14861	6583
693	14884	6563
694	14908	6542
695	14931	6521
696	14954	6501
697	14980	6481
698	15004	6461
699	15027	6440
700	15050	6419
701	15073	6398
702	15096	6377
703	15118	6356
704	15142	6336
705	15166	6315
706	15191	6295
707	15214	6274
708	15237	6254
709	15260	6233
710	15281	6211
711	15300	6189
712	15323	6167
713	15348	6148
714	15372	6127
715	15396	6106
716	15420	6086
717	15444	6065
718	15469	6045
719	15492	6024
720	15516	6004
721	15544	5985
722	15568	5964
723	15591	5943
724	15616	5923
725	15640	5902
726	15664	5882
727	15686	5860
728	15711	5840
729	15739	5821
730	15761	5799
731	15784	5779
732	15807	5758
733	15829	5736
734	15852	5715
735	15876	5694
736	15900	5674
737	15927	5654
738	15953	5634
739	15976	5613
740	15998	5592
741	16023	5571
742	16047	5550
743	16073	5530
744	16099	5510
745	16125	5490
746	16151	5470
747	16176	5449
748	16200	5429
749	16222	5407
750	16244	5385
751	16267	5364
752	16290	5343
753	16316	5323
754	16338	5301
755	16361	5280
756	16384	5259
757	16407	5238
758	16432	5217
759	16457	5196
760	16480	5175
761	16507	5155
762	16531	5135
763	16554	5113
764	16577	5092
765	16600	5071
766	16623	5049
767	16646	5028
768	16669	5007
769	16693	4986
770	16717	4965
771	16734	4942
772	16758	4921
773	16784	4900
774	16809	4880
775	16834	4859
776	16858	4838
777	16887	4818
778	16911	4797
779	16937	4777
780	16967	4757
781	16996	4738
782	17027	4718
783	17054	4698
784	17087	4680
785	17114	4659
786	17141	4639
787	17164	4617
788	17188	4596
789	17213	4575
790	17237	4554
791	17264	4534
792	17298	4515
793	17330	4496
794	17356	4475
795	17382	4454
796	17407	4433
797	17436	4413
798	17460	4392
799	17484	4371
800	17508	4349
801	17531	4328
802	17554	4306
803	17580	4285
804	17605	4264
805	17629	4243
806	17657	4222
807	17680	4201
808	17704	4179
809	17729	4158
810	17754	4137
811	17779	4116
812	17803	4094
813	17830	4074
814	17855	4053
815	17880	4031
816	17903	4010
817	17927	3988
818	17951	3967
819	17976	3946
820	18000	3924
821	18032	3904
822	18060	3884
823	18085	3862
824	18111	3841
825	18135	3820
826	18157	3798
827	18179	3776
828	18201	3754
829	18226	3733
830	18250	3711
831	18273	3689
832	18295	3667
833	18318	3646
834	18341	3624
835	18364	3602
836	18388	3581
837	18415	3559
838	18439	3538
839	18461	3516
840	18485	3494
841	18509	3473
842	18534	3451
843	18558	3430
844	18582	3408
845	18608	3387
846	18631	3365
847	18656	3344
848	18678	3322
849	18702	3300
850	18725	3278
851	18748	3256
852	18772	3235
853	18799	3213
854	18821	3191
855	18844	3170
856	18868	3148
857	18892	3126
858	18916	3105
859	18941	3083
860	18963	3061
861	18989	3040
862	19013	3018
863	19035	2996
864	19056	2974
865	19079	2952
866	19101	2930
867	19125	2908
868	19149	2886
869	19174	2865
870	19198	2843
871	19223	2821
872	19245	2799
873	19268	2777
874	19291	2755
875	19313	2733
876	19337	2712
877	19363	2690
878	19389	2669
879	19411	2646
880	19433	2624
881	19456	2603
882	19480	2581
883	19503	2559
884	19526	2537
885	19551	2515
886	19573	2493
887	19596	2471
888	19619	2449
889	19642	2427
890	19665	2405
891	19687	2383
892	19710	2361
893	19736	2340
894	19760	2318
895	19782	2296
896	19805	2274
897	19829	2252
898	19852	2230
899	19876	2208
900	19899	2186
901	19926	2164
902	19949	2143
903	19973	2121
904	19996	2099
905	20018	2076
906	20070	2057
907	20101	2036
908	20126	2014
909	20150	1992
910	20173	1970
911	20195	1948
912	20219	1926
913	20241	1904
914	20262	1882
915	20289	1860
916	20312	1838
917	20336	1816
918	20359	1794
919	20381	1772
920	20402	1750
921	20424	1727
922	20448	1705
923	20476	1684
924	20500	1662
925	20522	1640
926	20547	1618
927	20571	1596
928	20593	1573
929	20616	1551
930	20639	1529
931	20665	1507
932	20689	1485
933	20711	1463
934	20734	1441
935	20757	1419
936	20778	1397
937	20801	1374
938	20824	1352
939	20851	1330
940	20875	1308
941	20899	1286
942	20926	1264
943	20953	1243
944	20979	1221
945	21003	1198
946	21030	1176
947	21052	1154
948	21075	1132
949	21100	1110
950	21124	1088
951	21149	1066
952	21172	1044
953	21194	1021
954	21219	999
955	21243	977
956	21267	955
957	21289	933
958	21311	911
959	21332	888
960	21355	866
961	21379	844
962	21405	822
963	21428	800
964	21451	778
965	21474	755
966	21496	733
967	21520	711
968	21543	689
969	21567	667
970	21593	644
971	21619	622
972	21642	600
973	21664	578
974	21686	556
975	21711	533
976	21735	511
977	21758	489
978	21781	467
979	21808	445
980	21831	422
981	21855	400
982	21880	378
983	21904	356
984	21929	333
985	21953	311
986	21977	289
987	22002	267
988	22026	244
989	22050	222
990	22072	200
991	22096	178
992	22119	155
993	22142	133
994	22166	111
995	22192	89
996	22215	66
997	22238	44
998	22262	22
999	22286	0
