iter	Logloss
0	0.6667390977
1	0.6423247173
2	0.6182560833
3	0.5997095576
4	0.5804961893
5	0.5632465561
6	0.5466915707
7	0.5297737005
8	0.5180969224
9	0.5032803018
10	0.493140275
11	0.4836170387
12	0.4713270978
13	0.4577965624
14	0.4473977637
15	0.4371805141
16	0.4258150225
17	0.417806254
18	0.4085883711
19	0.3994559674
20	0.3924018552
21	0.3854899451
22	0.3795534118
23	0.374645515
24	0.3687316809
25	0.3653671426
26	0.3588487479
27	0.3528253915
28	0.3474876596
29	0.3430955114
30	0.3392041893
31	0.3343860167
32	0.3311768488
33	0.3289097118
34	0.3263509508
35	0.3221475035
36	0.318592902
37	0.3156296284
38	0.3117207452
39	0.3088767015
40	0.3061248037
41	0.3042534688
42	0.3012570841
43	0.2986710367
44	0.2966312389
45	0.294691217
46	0.2928246291
47	0.2899374979
48	0.2875170361
49	0.2863226766
50	0.2841466929
51	0.2820187493
52	0.2802503838
53	0.2781830384
54	0.2758562987
55	0.2745558819
56	0.2723183258
57	0.2706186574
58	0.2693685301
59	0.2683723792
60	0.2679051104
61	0.2669527841
62	0.265822606
63	0.2637036338
64	0.2631151447
65	0.2626087881
66	0.2618709616
67	0.2611723669
68	0.2598359073
69	0.2587256756
70	0.2581147841
71	0.2573376147
72	0.2564231952
73	0.255911289
74	0.2547623092
75	0.2539292178
76	0.2535926352
77	0.2528391069
78	0.2525301075
79	0.2520969303
80	0.2516970191
81	0.2513569812
82	0.2508242734
83	0.2500912265
84	0.2498449074
85	0.2490919714
86	0.2485187339
87	0.2477444614
88	0.2469179364
89	0.2462545736
90	0.2461203738
91	0.2459711011
92	0.2452649113
93	0.2445149219
94	0.2440806608
95	0.2433997171
96	0.2431652876
97	0.2430096665
98	0.242441604
99	0.2417969806
100	0.2410372609
101	0.2408863043
102	0.2402578297
103	0.2397351795
104	0.2392486091
105	0.2387782363
106	0.2383807313
107	0.2382437197
108	0.2379778325
109	0.2378452798
110	0.2371531255
111	0.2367739412
112	0.2363149368
113	0.2358352558
114	0.2357082299
115	0.235516066
116	0.2352541771
117	0.2343821224
118	0.2341265251
119	0.2338074411
120	0.2335331496
121	0.2335020523
122	0.2334041901
123	0.2331956957
124	0.2329868031
125	0.2328700709
126	0.2321745988
127	0.2319157898
128	0.2312252625
129	0.2306529654
130	0.2304512226
131	0.2301872645
132	0.229949185
133	0.2295270277
134	0.2292348695
135	0.2289180799
136	0.2286888887
137	0.2283658289
138	0.2282020537
139	0.2281276999
140	0.2280974647
141	0.2279532776
142	0.2276897879
143	0.2275745843
144	0.2273329443
145	0.2271227794
146	0.2269655408
147	0.2269201651
148	0.22643911
149	0.2261230421
150	0.2261111599
151	0.2256791217
152	0.2255863058
153	0.2249629384
154	0.2247702067
155	0.2246747832
156	0.2244439123
157	0.2244125225
158	0.2243951065
159	0.2241929775
160	0.2239904488
161	0.2238098373
162	0.2233139593
163	0.2232836794
164	0.2230416284
165	0.2229150158
166	0.2225239706
167	0.2223981455
168	0.2222308312
169	0.221962458
170	0.2219623985
171	0.2218991635
172	0.221743846
173	0.2216293486
174	0.2216224077
175	0.2214485352
176	0.220887947
177	0.2206508615
178	0.2202048506
179	0.2199236624
180	0.2197592365
181	0.2196312563
182	0.2195759514
183	0.2191734349
184	0.2190448874
185	0.2188864984
186	0.2188279449
187	0.218813998
188	0.2187166111
189	0.2186940949
190	0.2183270916
191	0.2182090457
192	0.2178703584
193	0.2178183948
194	0.2175385019
195	0.2171933923
196	0.2169761751
197	0.2169538944
198	0.21656249
199	0.2163795757
200	0.2162015363
201	0.2160978853
202	0.2159435961
203	0.2159218113
204	0.2157909435
205	0.2155379193
206	0.2152811175
207	0.2152799977
208	0.2152591045
209	0.2152386735
210	0.2150854501
211	0.2149805169
212	0.2149480925
213	0.2149280255
214	0.2148395634
215	0.2148135756
216	0.2146667281
217	0.2145161562
218	0.2144263927
219	0.2143596874
220	0.2142323969
221	0.2141745327
222	0.2141609676
223	0.2141064766
224	0.2140128443
225	0.2140125716
226	0.2139101062
227	0.2137724985
228	0.2136150122
229	0.2135735928
230	0.2135214644
231	0.2133115104
232	0.213143977
233	0.2129099178
234	0.2128074556
235	0.2127898445
236	0.2126688422
237	0.2126014424
238	0.212549295
239	0.2125027601
240	0.2124206408
241	0.2123613184
242	0.2123032507
243	0.2122464693
244	0.21222643
245	0.2120599394
246	0.2120597737
247	0.211943387
248	0.2115031343
249	0.2115028882
250	0.2114600871
251	0.2111414864
252	0.2111172912
253	0.2109303774
254	0.2109301897
255	0.2107885971
256	0.2107285351
257	0.2106808334
258	0.2106303735
259	0.2105507195
260	0.210510266
261	0.210471421
262	0.2103891216
263	0.2103005139
264	0.2102752129
265	0.2100895501
266	0.2100855232
267	0.2100386243
268	0.2100384162
269	0.2099143169
270	0.2097146638
271	0.2095297814
272	0.2094278658
273	0.2090156495
274	0.208939368
275	0.2089377178
276	0.208705997
277	0.2086938141
278	0.2086861478
279	0.208672864
280	0.208339436
281	0.2083274958
282	0.2082219935
283	0.208041691
284	0.2080037173
285	0.2079927416
286	0.2079517247
287	0.2079443151
288	0.2078139067
289	0.2077551973
290	0.2076471966
291	0.2076127306
292	0.2074765666
293	0.2073574816
294	0.2072913851
295	0.2072496985
296	0.2071808841
297	0.2071227387
298	0.2070544803
299	0.2069147248
300	0.2068016808
301	0.2066803049
302	0.2066471408
303	0.2064643958
304	0.2064642724
305	0.2062169033
306	0.2061439148
307	0.2059786055
308	0.2059728038
309	0.2059681071
310	0.2058676794
311	0.2055227449
312	0.2054825039
313	0.2054395776
314	0.205393906
315	0.2053848422
316	0.2053062836
317	0.2052748587
318	0.2052741117
319	0.2050687843
320	0.2050120777
321	0.2048751401
322	0.2046526552
323	0.2045947718
324	0.2043876238
325	0.2042819185
326	0.204278028
327	0.2042055059
328	0.2041370122
329	0.2040857167
330	0.2040729276
331	0.2040528945
332	0.2040467414
333	0.2037664286
334	0.2036997427
335	0.2036413987
336	0.2036381794
337	0.2035211409
338	0.2033213236
339	0.2031809597
340	0.203036952
341	0.2028124919
342	0.2027192075
343	0.202561197
344	0.2024617197
345	0.2023596465
346	0.2022057504
347	0.2020907725
348	0.2017971279
349	0.2017697605
350	0.2016556385
351	0.2016402942
352	0.2014148852
353	0.2013426719
354	0.2012639875
355	0.201252835
356	0.2011103254
357	0.2009837046
358	0.2008169738
359	0.200744657
360	0.2006221501
361	0.200602127
362	0.2004430833
363	0.2004035072
364	0.2003054949
365	0.2001752
366	0.200066485
367	0.1998905463
368	0.1998764564
369	0.1998078547
370	0.1997565276
371	0.1995859487
372	0.1995807201
373	0.1993851119
374	0.1992841841
375	0.1992603636
376	0.199237764
377	0.1992206357
378	0.1990186008
379	0.1987501541
380	0.1986588724
381	0.1986553629
382	0.1984884047
383	0.1983940008
384	0.1982388166
385	0.1982083069
386	0.1981220301
387	0.1981189911
388	0.1979240435
389	0.1976344181
390	0.1976106085
391	0.1974767416
392	0.1973822886
393	0.1972541287
394	0.1971884119
395	0.1971495742
396	0.1971252628
397	0.1970632168
398	0.1968722384
399	0.1968590589
400	0.1966582159
401	0.196630995
402	0.1966116721
403	0.1965021104
404	0.1963986262
405	0.1962238737
406	0.1962021258
407	0.1960507185
408	0.1960357256
409	0.1959536783
410	0.19574525
411	0.1955358609
412	0.1954693711
413	0.1953238457
414	0.1951065139
415	0.1950086688
416	0.1948843635
417	0.1947729203
418	0.1947171821
419	0.1947088927
420	0.1944214037
421	0.1941720774
422	0.1941002192
423	0.1939114176
424	0.1938331584
425	0.193653828
426	0.1935971939
427	0.1935625729
428	0.1934184505
429	0.1934023339
430	0.1931035837
431	0.1930919611
432	0.1928577336
433	0.1927163501
434	0.1925991398
435	0.1924464545
436	0.1923835012
437	0.1922785731
438	0.1921162924
439	0.1920622768
440	0.1918384982
441	0.1918169108
442	0.1918072014
443	0.191771603
444	0.1916095536
445	0.1915060689
446	0.1914388624
447	0.1913023054
448	0.1912839676
449	0.1912224212
450	0.1910938029
451	0.190834738
452	0.1907629899
453	0.1906635802
454	0.1905222269
455	0.1903852587
456	0.1903216933
457	0.1902686611
458	0.1902310671
459	0.19008462
460	0.1899652438
461	0.1899159257
462	0.1898160691
463	0.1897825914
464	0.189681586
465	0.1895316016
466	0.1895094465
467	0.1894565495
468	0.1893995317
469	0.189272931
470	0.1891622727
471	0.1890894662
472	0.1889186037
473	0.1888545768
474	0.1886120506
475	0.1885467144
476	0.1883807131
477	0.1883240415
478	0.1881754731
479	0.1879947185
480	0.1878213853
481	0.187751225
482	0.1876897599
483	0.1875570057
484	0.1874339121
485	0.1873079972
486	0.1870911711
487	0.1868699488
488	0.1867033905
489	0.1864823128
490	0.1863406364
491	0.1862130982
492	0.1861238693
493	0.1860434304
494	0.1860102743
495	0.1859595884
496	0.185865826
497	0.1857290057
498	0.185492296
499	0.1853471563
500	0.1852840276
501	0.1851220913
502	0.1850707202
503	0.1849667106
504	0.1848448634
505	0.1847786445
506	0.1847249198
507	0.1845423521
508	0.1845319817
509	0.1845086334
510	0.1844020262
511	0.1842781454
512	0.1842323104
513	0.1842014943
514	0.1841556698
515	0.184119469
516	0.1841035701
517	0.1839842786
518	0.1839451697
519	0.183892147
520	0.1838065449
521	0.1837591478
522	0.183653866
523	0.1835984852
524	0.1834040818
525	0.1833322043
526	0.1833133611
527	0.1832652801
528	0.1832169945
529	0.1832113833
530	0.183079518
531	0.1830343272
532	0.1829048779
533	0.1828599246
534	0.1827244972
535	0.1825822437
536	0.1825758387
537	0.1825255828
538	0.1824783873
539	0.1823622913
540	0.1823568176
541	0.1822076083
542	0.1820536164
543	0.1819637042
544	0.1819067514
545	0.1818391281
546	0.1817726091
547	0.1817229309
548	0.181511017
549	0.1814137636
550	0.1813246521
551	0.1812834502
552	0.1812553564
553	0.1811735182
554	0.181061565
555	0.1810237616
556	0.1809826421
557	0.1809280535
558	0.1809136083
559	0.1807090321
560	0.1805511212
561	0.1804231436
562	0.1803955675
563	0.1803865615
564	0.1803532978
565	0.1803041949
566	0.1802556815
567	0.1802307158
568	0.1801645468
569	0.1800860576
570	0.1799757473
571	0.1799071805
572	0.1796848436
573	0.1796459671
574	0.1795956482
575	0.1793570127
576	0.1792225696
577	0.1791484739
578	0.179097967
579	0.1789957893
580	0.178952257
581	0.1789065024
582	0.178865251
583	0.1787873696
584	0.1787541033
585	0.1785982844
586	0.1785110562
587	0.1784940022
588	0.1783079986
589	0.178270278
590	0.1782598139
591	0.1781080347
592	0.1779896808
593	0.1778779148
594	0.1778311119
595	0.1778108169
596	0.177772943
597	0.177664049
598	0.1775604325
599	0.1774394082
600	0.177234548
601	0.1770503078
602	0.1770167379
603	0.1769519761
604	0.1768493556
605	0.1765511076
606	0.176338622
607	0.1763074231
608	0.1762796442
609	0.176252085
610	0.1761965683
611	0.1761040314
612	0.1760374642
613	0.1758121817
614	0.1757183679
615	0.1754223684
616	0.1752794396
617	0.1751743199
618	0.1750479214
619	0.1747684646
620	0.1747099433
621	0.1745577178
622	0.1744835464
623	0.1744609825
624	0.1743444114
625	0.1741346813
626	0.1740471246
627	0.1738835516
628	0.1738374643
629	0.1738145512
630	0.1737256666
631	0.1736813188
